City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,27.99,78,75,7.72,CC,1699180228
1,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,79,75,5.36,RU,1699180369
2,adamstown,-25.066,-130.1015,22.27,76,96,6.69,PN,1699180370
3,puerto ayora,-0.7393,-90.3518,24.75,90,78,3.13,EC,1699180372
4,ceelbuur,4.685,46.6176,31.03,54,99,1.91,SO,1699180373
5,pacific grove,36.6177,-121.9166,14.12,92,100,2.06,US,1699180374
6,san patricio,28.017,-97.5169,19.91,89,100,2.15,US,1699180376
7,portland,45.5234,-122.6762,12.48,95,20,3.6,US,1699180181
8,olonkinbyen,70.9221,-8.7187,-0.55,81,100,12.57,SJ,1699180380
9,ceyranbatan,40.5408,49.6597,20.84,61,0,9.01,AZ,1699180382
10,alo,7.4178,6.7371,31.86,61,99,0.81,NG,1699180383
11,alvaraes,-3.2208,-64.8042,24.3,95,54,0.34,BR,1699180384
12,ushuaia,-54.8,-68.3,7.81,93,20,5.14,AR,1699180334
13,tugulym,57.0591,64.6425,0.04,85,25,1.21,RU,1699180387
14,georgetown,5.4112,100.3354,29.99,79,20,3.13,MY,1699180233
15,margaret river,-33.95,115.0667,17.54,86,3,6.59,AU,1699180389
16,waitangi,-43.9535,-176.5597,12.12,92,100,1.34,NZ,1699180268
17,yellowknife,62.456,-114.3525,-6.44,96,100,6.17,CA,1699180391
18,luza,60.6308,47.2512,4.61,75,100,5.71,RU,1699180393
19,jilma,35.2731,9.4239,27.99,19,0,2.83,TN,1699180394
20,papatowai,-46.5619,169.4708,5.68,80,38,1.36,NZ,1699180398
21,port-aux-francais,-49.35,70.2167,3.86,77,70,10.13,TF,1699180399
22,jamestown,42.097,-79.2353,8.77,88,100,2.57,US,1699180401
23,dunedin,-45.8742,170.5036,7.67,76,48,1.42,NZ,1699180403
24,blackmans bay,-43.0167,147.3167,11.07,74,69,1.25,AU,1699180404
25,namibe,-15.1961,12.1522,25.58,67,94,4.8,AO,1699180406
26,punta arenas,-53.15,-70.9167,5.62,67,100,10.88,CL,1699180408
27,itoman,26.1247,127.6694,26.21,88,75,4.12,JP,1699180411
28,edinburgh of the seven seas,-37.0676,-12.3116,12.03,68,94,3.76,SH,1699180413
29,touros,-5.1989,-35.4608,28.43,63,18,5.84,BR,1699180414
30,okha,53.5739,142.9478,-8.13,66,83,8.93,RU,1699180219
31,beloyarskiy,63.7119,66.6722,-5.56,92,7,5.81,RU,1699180418
32,jorpeland,59.0225,6.0408,10.08,49,100,3.22,NO,1699180419
