over_team_image_peerUrls,wagonY,over_team_objectId,over_target,inningNumber,over_team_image_url,totalRuns,bowlerPlayerId,over_totalWickets,over_overLimit,over_team_isCountry,title,over_team_image_slug,over_overWickets,over_team_slug,over_overRuns,over_overNumber,noballs,ballsUnique,modified,over_team_id,_uid,over_team_longName,isFour,over_team_image_longCaption,timestamp,bowlerStatText,over_ballLimit,dismissalType,wagonZone,over_overEndBatsmen,oversUnique,over_totalRuns,events,wagonX,totalInningRuns,over_team_name,dismissalText,ballsActual,outPlayerId,id,over_team_image_width,over_team_image_id,over_team_image_photographer,over_rollover,over_team_abbreviation,over_team_primaryColor,over_isSuperOver,predictions,ballNumber,overNumber,over_team_imageUrl,over_team_image_credit,over_overEndBowlers,over_team_unofficialName,wides,isSix,batsmanStatText,dismissalText_long,isWicket,over_team_image_caption,commentImages,batsmanRuns,over_team_image_objectId,penalties,over_isComplete,totalInningWickets,oversActual,byes,commentTextItems,commentPreTextItems,commentPostTextItems,over_team_scribeId,dismissalText_short,legbyes,batsmanPlayerId,over,commentVideos,over_team_image_height,over_isMaiden,dismissalText_commentary
,33,,,1,,1,64443,,,,Cottrell to Hendricks,,,,,,0,,2016-10-06T18:06:41.000Z,,12469079,,False,,,,,,1,,0.01,,[],249,1,,,,,12469079,,,,,,,,,1,1,,,,,0,False,,,False,,[],1,,0,,0,0.1,0,"[{'type': 'HTML', 'html': 'back of a length at the body, turned down to long leg'}]","[{'type': 'HTML', 'html': 'The teams are on their way out, it should be a decent affair this and West Indies might actually have a chance of winning for once! <b>Sheldon Cottrell</b> to open the bowling...'}, {'type': 'HTML', 'html': '<br><br>'}, {'type': 'HTML', 'html': '<b>5.50pm</b> We got there in the end. No Marchant de Lange for the host which is perhaps surprising - maybe because they have selected two allrounders in Parnell and Wiese.'}, {'type': 'HTML', 'html': '<br><br>'}, {'type': 'HTML', 'html': 'Almost time for the toss, the captains are coming out in very hot conditions - beautiful day in Cape Town. Pitch looks solid but perhaps a little grass, one across from the Test wicket. South Africa have <b>won the toss and will bat</b>, interesting to see the teams...'}, {'type': 'HTML', 'html': '<br><br>'}, {'type': 'HTML', 'html': '<b>South Africa</b> 1 Morne van Wyk, 2 Reeza Hendricks, 3 Rilee Roussow, 4 Faf du Plessis (capt), 5 David Miller, 6 Farhaan Behardien, 7 David Wiese, 8 Wayne Parnell, 9 Kyle Abbott, 10 Kagiso Rabada, 11 Imran Tahir'}, {'type': 'HTML', 'html': '<br><br>'}, {'type': 'HTML', 'html': ""Just waiting for the West Indies XI. The one we've been given has Dwayne Bravo in it, the same Bravo who is supposedly currently in Australia. All sorts of confusion but it does appear the Bravo has boarded a plane and is set to play here...""}, {'type': 'HTML', 'html': '<br><br>'}, {'type': 'HTML', 'html': '<b>West Indies</b> 1 Chris Gayle, 2 Dwyane Smith, 3 Marlon Samuels, 4 Dwayne Bravo, 5 Kieron Pollard, 6 Denesh D Ramdin, 7 Darren Sammy, 8 Andre Russell, 9 Jason Holder, 10 Ashley Nurse, 11 Sheldon Cottrell'}, {'type': 'HTML', 'html': '<br><br>'}, {'type': 'HTML', 'html': ""<b>5.15pm</b> Afternoon folks and welcome to the first T20 from Cape Town. In the context of the cricket to come this is an odd series that doesn't really fit, but it represents West Indies' best chance of success on this tour. They have a strong looking squad while South Africa have rested a few players, although still have plenty of talent. Toss and teams coming in just over ten minutes.""}]",,,,0,50416,,[],,,
,0,,,1,,0,64443,,,,Cottrell to van Wyk,,,,,,0,,2016-10-06T18:06:41.000Z,,12469081,,False,,,,,,0,,0.02,,[],0,1,,,,,12469081,,,,,,,,,2,1,,,,,0,False,,,False,,[],0,,0,,0,0.2,0,"[{'type': 'HTML', 'html': 'fuller length, swings back into the thigh pad of the right-hander, beating his attempted press to leg'}]",,,,,0,6354,,[],,,
,132,,,1,,6,64443,,,,Cottrell to van Wyk,,,,,,0,,2016-10-06T18:06:41.000Z,,12469087,,False,,,,,,2,,0.03,,[],350,7,,,,,12469087,,,,,,,,,3,1,,,,,0,True,,,False,,[],6,,0,,0,0.3,0,"[{'type': 'HTML', 'html': 'shorter, too straight and whipped over deep-backward square leg, what timing, fast hands, pulled away, nailed'}]",,,,,0,6354,,[],,,
,153,,,1,,0,64443,,,,Cottrell to van Wyk,,,,,,0,,2016-10-06T18:06:41.000Z,,12469089,,False,,,,,,7,,0.04,,[],119,7,,,,,12469089,,,,,,,,,4,1,,,,,0,False,,,False,,[],0,,0,,0,0.4,0,"[{'type': 'HTML', 'html': ""shortish again, outside off now, lucky for the bowler it's only cut to backward point""}]",,,,,0,6354,,[],,,
,0,,,1,,0,64443,,,,Cottrell to van Wyk,,,,,,0,,2016-10-06T18:06:41.000Z,,12469093,,False,,,,,,0,,0.05,,[],0,7,,,,,12469093,,,,,,,,,5,1,,,,,0,False,,,False,,[],0,,0,,0,0.5,0,"[{'type': 'HTML', 'html': 'better, pitched up a foot outside off and left alone'}]",,,,,0,6354,,[],,,
,0,3,0,1,/db/PICTURES/CMS/313100/313125.logo.png,0,64443,0,20,True,Cottrell to van Wyk,south-africa-logo,0,south-africa,7,1,0,,2016-10-06T18:06:41.000Z,3,12469095,South Africa,False,South Africa logo,,,120,,0,"[{'player': {'id': 6354, 'objectId': 47711, 'name': 'MN van Wyk', 'longName': 'Morne van Wyk', 'mobileName': 'van Wyk', 'indexName': 'van Wyk, MN', 'battingName': 'MN van Wyk', 'fieldingName': 'van Wyk', 'slug': 'morne-van-wyk', 'imageUrl': '/db/PICTURES/CMS/224000/224035.1.jpg', 'dateOfBirth': {'year': 1979, 'month': 3, 'date': 20}, 'dateOfDeath': None, 'gender': 'M', 'battingStyles': ['rhb'], 'bowlingStyles': ['sla'], 'longBattingStyles': ['right-hand bat'], 'longBowlingStyles': ['slow left-arm orthodox'], 'image': {'id': 224035, 'objectId': 929145, 'slug': 'morn-van-wyk', 'url': '/db/PICTURES/CMS/224000/224035.1.jpg', 'width': 160, 'height': 191, 'caption': 'Morné van Wyk', 'longCaption': 'Morné van Wyk', 'credit': 'Sunfoil Dolphins', 'photographer': None, 'peerUrls': None}, 'countryTeamId': 3, 'playerRoleTypeIds': [7], 'playingRoles': ['wicketkeeper batter'], 'headshotImage': {'id': 322084, 'objectId': 1264458, 'slug': 'morne-van-wyk-player-page-headshot-cutout-2021', 'url': '/db/PICTURES/CMS/322000/322084.png', 'width': 600, 'height': 436, 'caption': 'Morne van Wyk player page headshot cutout, 2021', 'longCaption': 'Morne van Wyk player page headshot cutout, 2021', 'credit': None, 'photographer': None, 'peerUrls': {'FILM': None, 'WIDE': None, 'SQUARE': '/db/PICTURES/CMS/322000/322084.square.png'}}}, 'runs': 6, 'balls': 5, 'fours': 0, 'sixes': 1}, {'player': {'id': 50416, 'objectId': 269280, 'name': 'RR Hendricks', 'longName': 'Reeza Hendricks', 'mobileName': 'Hendricks', 'indexName': 'Hendricks, RR', 'battingName': 'RR Hendricks', 'fieldingName': 'Hendricks', 'slug': 'reeza-hendricks', 'imageUrl': '/db/PICTURES/CMS/317900/317945.jpg', 'dateOfBirth': {'year': 1989, 'month': 8, 'date': 14}, 'dateOfDeath': None, 'gender': 'M', 'battingStyles': ['rhb'], 'bowlingStyles': ['ob'], 'longBattingStyles': ['right-hand bat'], 'longBowlingStyles': ['right-arm offbreak'], 'image': {'id': 317945, 'objectId': 1254911, 'slug': 'reeza-hendricks-portrait', 'url': '/db/PICTURES/CMS/317900/317945.jpg', 'width': 160, 'height': 200, 'caption': 'Reeza Hendricks portrait', 'longCaption': 'Reeza Hendricks portrait, November 19, 2020', 'credit': 'Cricket South Africa', 'photographer': None, 'peerUrls': None}, 'countryTeamId': 3, 'playerRoleTypeIds': [1], 'playingRoles': ['opening batter'], 'headshotImage': {'id': 322071, 'objectId': 1264441, 'slug': 'reeza-hendricks-player-page-headshot-cutout-2021', 'url': '/db/PICTURES/CMS/322000/322071.png', 'width': 600, 'height': 436, 'caption': 'Reeza Hendricks player page headshot cutout, 2021', 'longCaption': 'Reeza Hendricks player page headshot cutout, 2021', 'credit': None, 'photographer': None, 'peerUrls': {'FILM': None, 'WIDE': None, 'SQUARE': '/db/PICTURES/CMS/322000/322071.square.png'}}}, 'runs': 1, 'balls': 1, 'fours': 0, 'sixes': 0}]",0.06,7,[],0,7,South Africa,,,,12469095,500,313125,,,SA,#04822B,False,,6,1,/db/PICTURES/CMS/313100/313125.logo.png,,"[{'player': {'id': 64443, 'objectId': 495551, 'name': 'SS Cottrell', 'longName': 'Sheldon Cottrell', 'mobileName': 'Cottrell', 'indexName': 'Cottrell, SS', 'battingName': 'SS Cottrell', 'fieldingName': 'Cottrell', 'slug': 'sheldon-cottrell', 'imageUrl': '/db/PICTURES/CMS/232700/232765.jpg', 'dateOfBirth': {'year': 1989, 'month': 8, 'date': 19}, 'dateOfDeath': None, 'gender': 'M', 'battingStyles': ['rhb'], 'bowlingStyles': ['lfm'], 'longBattingStyles': ['right-hand bat'], 'longBowlingStyles': ['left-arm fast-medium'], 'image': {'id': 232765, 'objectId': 966407, 'slug': 'sheldon-cottrell-profile-photo', 'url': '/db/PICTURES/CMS/232700/232765.jpg', 'width': 160, 'height': 200, 'caption': 'Sheldon Cottrell profile photo', 'longCaption': 'Sheldon Cottrell profile photo', 'credit': 'Craig Cozier', 'photographer': None, 'peerUrls': None}, 'countryTeamId': 4, 'playerRoleTypeIds': [4], 'playingRoles': ['bowler'], 'headshotImage': {'id': 316693, 'objectId': 1251326, 'slug': 'ss-cottrell-headshot', 'url': '/db/PICTURES/CMS/316600/316693.png', 'width': 600, 'height': 436, 'caption': 'SS Cottrell headshot', 'longCaption': 'SS Cottrell headshot', 'credit': None, 'photographer': None, 'peerUrls': {'FILM': None, 'WIDE': None, 'SQUARE': None}}}, 'overs': 1, 'balls': 6, 'maidens': 0, 'conceded': 7, 'wickets': 0, 'currentType': 1}]",,0,False,,,False,South Africa logo,[],0,1241584,0,True,0,0.6,0,"[{'type': 'HTML', 'html': 'goes to pull a ball on a length, misses, struck on the thigh pad too high for an lbw appeal'}]",,,3,,0,6354,,[],500,False,
,122,,,1,,0,59339,,,,Holder to Hendricks,,,,,,0,,2016-10-06T18:06:41.000Z,,12469103,,False,,,,,,8,,1.01,,[],180,7,,,,,12469103,,,,,,,,,1,2,,,,,0,False,,,False,,[],0,,0,,0,1.1,0,"[{'type': 'HTML', 'html': 'pulled from outside off, gets an under-edge but it lands well short of the wicketkeeper'}]","[{'type': 'HTML', 'html': '<b>Jason Holder</b> at the other end...'}]",,,,0,50416,,[],,,
,217,,,1,,2,59339,,,,Holder to Hendricks,,,,,,0,,2016-10-06T18:06:41.000Z,,12469107,,False,,,,,,6,,1.02,,[],48,9,,,,,12469107,,,,,,,,,2,2,,,,,0,False,,,False,,[],2,,0,,0,1.2,0,"[{'type': 'HTML', 'html': 'similar ball, this time cut without timing but gets it through the covers'}]",,,,,0,50416,,[],,,
,0,,,1,,0,59339,,,,Holder to Hendricks,,,,,,0,,2016-10-06T18:06:41.000Z,,12469109,,False,,,,,,0,,1.03,,[],0,9,,,,,12469109,,,,,,,,,3,2,,,,,0,False,,,False,,[],0,,0,,0,1.3,0,"[{'type': 'HTML', 'html': 'fuller length, two-feet outside off, left alone'}]",,,,,0,50416,,[],,,
,127,,,1,,0,59339,,,,Holder to Hendricks,,,,,,0,,2016-10-06T18:06:41.000Z,,12469115,,False,,,,,,7,,1.04,,[],138,9,,,,,12469115,,,,,,,,,4,2,,,,,0,False,,,False,,[],0,,0,,0,1.4,0,"[{'type': 'HTML', 'html': 'tighter line, now nudged out towards backward point'}]",,,,,0,50416,,[],,,
