2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2001-01-02,2002-01-02,2003-01-02,2004-01-02,2005-01-02,2006-01-02,2001-01-03,2002-01-03,2003-01-03,2004-01-03,2005-01-03,2006-01-03,2001-01-04,2002-01-04,2003-01-04,2004-01-04,2005-01-04,2006-01-04,2001-01-05,2002-01-05,2003-01-05,2004-01-05,2005-01-05,2006-01-05,2007-01-05,2001-01-06,2002-01-06,2003-01-06,2004-01-06,2005-01-06,2006-01-06,2001-01-07,2002-01-07,2003-01-07,2004-01-07,2005-01-07,2006-01-07,2001-01-08,2002-01-08,2003-01-08,2004-01-08,2005-01-08,2006-01-08,2001-01-09,2002-01-09,2003-01-09,2004-01-09,2005-01-09,2006-01-09,2001-01-10,2002-01-10,2003-01-10,2004-01-10,2005-01-10,2006-01-10,2007-01-10,2001-01-11,2002-01-11,2003-01-11,2004-01-11,2005-01-11,2006-01-11,2001-01-12,2002-01-12,2003-01-12,2004-01-12,2005-01-12,2006-01-12,2001-01-13,2002-01-13,2003-01-13,2004-01-13,2005-01-13,2006-01-13,2001-01-14,2002-01-14,2003-01-14,2004-01-14,2005-01-14,2006-01-14,2001-01-15,2002-01-15,2003-01-15,2004-01-15,2005-01-15,2006-01-15,2001-01-16,2002-01-16,2003-01-16,2004-01-16,2005-01-16,2006-01-16,2001-01-17,2002-01-17,2003-01-17,2004-01-17,2005-01-17,2006-01-17,2007-01-17,2001-01-18,2002-01-18,2003-01-18,2004-01-18,2005-01-18,2006-01-18,2001-01-19,2002-01-19,2003-01-19,2004-01-19,2005-01-19,2006-01-19,2001-01-20,2002-01-20,2003-01-20,2004-01-20,2005-01-20,2006-01-20,2001-02-01,2002-02-01,2003-02-01,2004-02-01,2005-02-01,2006-02-01,2001-02-02,2002-02-02,2003-02-02,2004-02-02,2005-02-02,2006-02-02,2001-02-03,2002-02-03,2003-02-03,2004-02-03,2005-02-03,2006-02-03,2001-02-04,2002-02-04,2003-02-04,2004-02-04,2005-02-04,2006-02-04,2001-02-05,2002-02-05,2003-02-05,2004-02-05,2005-02-05,2006-02-05,2001-02-06,2002-02-06,2003-02-06,2004-02-06,2005-02-06,2006-02-06,2001-02-07,2002-02-07,2003-02-07,2004-02-07,2005-02-07,2006-02-07,2007-02-07,2001-02-08,2002-02-08,2003-02-08,2004-02-08,2005-02-08,2006-02-08,2001-02-09,2002-02-09,2003-02-09,2004-02-09,2005-02-09,2006-02-09,2001-02-10,2002-02-10,2003-02-10,2004-02-10,2005-02-10,2006-02-10,2001-02-11,2002-02-11,2003-02-11,2004-02-11,2005-02-11,2006-02-11,2001-02-12,2002-02-12,2003-02-12,2004-02-12,2005-02-12,2006-02-12,2001-02-13,2002-02-13,2003-02-13,2004-02-13,2005-02-13,2006-02-13,2001-02-14,2002-02-14,2003-02-14,2004-02-14,2005-02-14,2006-02-14,2001-02-15,2002-02-15,2003-02-15,2004-02-15,2005-02-15,2006-02-15,2001-02-16,2002-02-16,2003-02-16,2004-02-16,2005-02-16,2006-02-16,2001-02-17,2002-02-17,2003-02-17,2004-02-17,2005-02-17,2006-02-17,2001-02-18,2002-02-18,2003-02-18,2004-02-18,2005-02-18,2006-02-18,2001-02-19,2002-02-19,2003-02-19,2004-02-19,2005-02-19,2006-02-19,2001-02-20,2002-02-20
12469079,12469081,12469087,12469089,12469093,12469095,12469103,12469107,12469109,12469115,12469117,12469121,12469127,12469129,12469131,12469137,12469141,12469143,12469147,12469149,12469151,12469157,12469159,12469161,12469167,12469177,12469183,12469187,12469191,12469195,12469199,12469205,12469211,12469215,12469219,12469221,12469225,12469227,12469229,12469231,12469233,12469235,12469239,12469243,12469249,12469253,12469257,12469261,12469265,12469271,12469273,12469275,12469277,12469281,12469285,12469289,12469295,12469297,12469301,12469303,12469307,12469309,12469311,12469313,12469315,12469317,12469319,12469321,12469323,12469325,12469327,12469329,12469331,12469333,12469335,12469337,12469339,12469341,12469343,12469345,12469347,12469349,12469351,12469353,12469355,12469357,12469359,12469361,12469363,12469365,12469367,12469369,12469371,12469373,12469375,12469377,12469379,12469381,12469383,12469385,12469387,12469389,12469391,12469393,12469395,12469397,12469399,12469401,12469403,12469405,12469407,12469409,12469411,12469413,12469415,12469417,12469419,12469421,12469423,12469425,12469427,12469429,12469431,12469433,12469435,12469437,12469439,12469441,12469443,12469445,12469447,12469449,12469451,12469453,12469455,12469457,12469459,12469461,12469463,12469465,12469467,12469469,12469471,12469473,12469475,12469477,12469479,12469481,12469483,12469485,12469487,12469489,12469491,12469493,12469495,12469497,12469499,12469501,12469503,12469505,12469507,12469509,12469511,12469513,12469515,12469517,12469519,12469521,12469523,12469525,12469527,12469529,12469531,12469533,12469535,12469537,12469539,12469541,12469543,12469545,12469547,12469549,12469551,12469553,12469555,12469557,12469559,12469561,12469563,12469565,12469567,12469569,12469571,12469573,12469575,12469577,12469579,12469581,12469583,12469585,12469587,12469589,12469591,12469593,12469595,12469597,12469599,12469601,12469603,12469605,12469607,12469609,12469611,12469613,12469615,12469617,12469619,12469621,12469623,12469625,12469627,12469629,12469631,12469633,12469635,12469637,12469639,12469641,12469643,12469645,12469647,12469649,12469651,12469653,12469655,12469657,12469659,12469661,12469663,12469665
12469079,12469081,12469087,12469089,12469093,12469095,12469103,12469107,12469109,12469115,12469117,12469121,12469127,12469129,12469131,12469137,12469141,12469143,12469147,12469149,12469151,12469157,12469159,12469161,12469167,12469177,12469183,12469187,12469191,12469195,12469199,12469205,12469211,12469215,12469219,12469221,12469225,12469227,12469229,12469231,12469233,12469235,12469239,12469243,12469249,12469253,12469257,12469261,12469265,12469271,12469273,12469275,12469277,12469281,12469285,12469289,12469295,12469297,12469301,12469303,12469307,12469309,12469311,12469313,12469315,12469317,12469319,12469321,12469323,12469325,12469327,12469329,12469331,12469333,12469335,12469337,12469339,12469341,12469343,12469345,12469347,12469349,12469351,12469353,12469355,12469357,12469359,12469361,12469363,12469365,12469367,12469369,12469371,12469373,12469375,12469377,12469379,12469381,12469383,12469385,12469387,12469389,12469391,12469393,12469395,12469397,12469399,12469401,12469403,12469405,12469407,12469409,12469411,12469413,12469415,12469417,12469419,12469421,12469423,12469425,12469427,12469429,12469431,12469433,12469435,12469437,12469439,12469441,12469443,12469445,12469447,12469449,12469451,12469453,12469455,12469457,12469459,12469461,12469463,12469465,12469467,12469469,12469471,12469473,12469475,12469477,12469479,12469481,12469483,12469485,12469487,12469489,12469491,12469493,12469495,12469497,12469499,12469501,12469503,12469505,12469507,12469509,12469511,12469513,12469515,12469517,12469519,12469521,12469523,12469525,12469527,12469529,12469531,12469533,12469535,12469537,12469539,12469541,12469543,12469545,12469547,12469549,12469551,12469553,12469555,12469557,12469559,12469561,12469563,12469565,12469567,12469569,12469571,12469573,12469575,12469577,12469579,12469581,12469583,12469585,12469587,12469589,12469591,12469593,12469595,12469597,12469599,12469601,12469603,12469605,12469607,12469609,12469611,12469613,12469615,12469617,12469619,12469621,12469623,12469625,12469627,12469629,12469631,12469633,12469635,12469637,12469639,12469641,12469643,12469645,12469647,12469649,12469651,12469653,12469655,12469657,12469659,12469661,12469663,12469665
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.02,0.03,0.04,0.05,0.06,1.01,1.02,1.03,1.04,1.05,1.06,2.01,2.02,2.03,2.04,2.05,2.06,3.01,3.02,3.03,3.04,3.05,3.06,4.01,4.02,4.03,4.04,4.05,4.06,4.07,5.01,5.02,5.03,5.04,5.05,5.06,6.01,6.02,6.03,6.04,6.05,6.06,7.01,7.02,7.03,7.04,7.05,7.06,8.01,8.02,8.03,8.04,8.05,8.06,9.01,9.02,9.03,9.04,9.05,9.06,9.07,10.01,10.02,10.03,10.04,10.05,10.06,11.01,11.02,11.03,11.04,11.05,11.06,12.01,12.02,12.03,12.04,12.05,12.06,13.01,13.02,13.03,13.04,13.05,13.06,14.01,14.02,14.03,14.04,14.05,14.06,15.01,15.02,15.03,15.04,15.05,15.06,16.01,16.02,16.03,16.04,16.05,16.06,16.07,17.01,17.02,17.03,17.04,17.05,17.06,18.01,18.02,18.03,18.04,18.05,18.06,19.01,19.02,19.03,19.04,19.05,19.06,0.01,0.02,0.03,0.04,0.05,0.06,1.01,1.02,1.03,1.04,1.05,1.06,2.01,2.02,2.03,2.04,2.05,2.06,3.01,3.02,3.03,3.04,3.05,3.06,4.01,4.02,4.03,4.04,4.05,4.06,5.01,5.02,5.03,5.04,5.05,5.06,6.01,6.02,6.03,6.04,6.05,6.06,6.07,7.01,7.02,7.03,7.04,7.05,7.06,8.01,8.02,8.03,8.04,8.05,8.06,9.01,9.02,9.03,9.04,9.05,9.06,10.01,10.02,10.03,10.04,10.05,10.06,11.01,11.02,11.03,11.04,11.05,11.06,12.01,12.02,12.03,12.04,12.05,12.06,13.01,13.02,13.03,13.04,13.05,13.06,14.01,14.02,14.03,14.04,14.05,14.06,15.01,15.02,15.03,15.04,15.05,15.06,16.01,16.02,16.03,16.04,16.05,16.06,17.01,17.02,17.03,17.04,17.05,17.06,18.01,18.02,18.03,18.04,18.05,18.06,19.01,19.02
0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,2.6,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,4.4,4.5,4.6,5.1,5.2,5.3,5.4,5.5,5.6,6.1,6.2,6.3,6.4,6.5,6.6,7.1,7.2,7.3,7.4,7.5,7.6,8.1,8.2,8.3,8.4,8.5,8.6,9.1,9.2,9.2,9.3,9.4,9.5,9.6,10.1,10.2,10.3,10.4,10.5,10.6,11.1,11.2,11.3,11.4,11.5,11.6,12.1,12.2,12.3,12.4,12.5,12.6,13.1,13.2,13.3,13.4,13.5,13.6,14.1,14.2,14.3,14.4,14.5,14.6,15.1,15.2,15.3,15.4,15.5,15.6,16.1,16.1,16.2,16.3,16.4,16.5,16.6,17.1,17.2,17.3,17.4,17.5,17.6,18.1,18.2,18.3,18.4,18.5,18.6,19.1,19.2,19.3,19.4,19.5,19.6,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,2.6,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,4.5,4.6,5.1,5.2,5.3,5.4,5.5,5.6,6.1,6.2,6.3,6.3,6.4,6.5,6.6,7.1,7.2,7.3,7.4,7.5,7.6,8.1,8.2,8.3,8.4,8.5,8.6,9.1,9.2,9.3,9.4,9.5,9.6,10.1,10.2,10.3,10.4,10.5,10.6,11.1,11.2,11.3,11.4,11.5,11.6,12.1,12.2,12.3,12.4,12.5,12.6,13.1,13.2,13.3,13.4,13.5,13.6,14.1,14.2,14.3,14.4,14.5,14.6,15.1,15.2,15.3,15.4,15.5,15.6,16.1,16.2,16.3,16.4,16.5,16.6,17.1,17.2,17.3,17.4,17.5,17.6,18.1,18.2,18.3,18.4,18.5,18.6,19.1,19.2
1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20
1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,7,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,7,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,7,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,7,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2
1,0,6,0,0,0,0,2,0,0,0,0,0,4,1,3,4,1,0,0,1,1,1,1,4,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,4,0,4,0,4,0,1,4,6,1,1,2,1,1,6,4,0,0,0,1,1,4,1,1,1,0,2,1,1,0,1,1,1,1,2,2,4,1,2,1,1,1,2,4,0,1,0,2,0,2,1,1,1,1,1,1,0,4,2,0,4,1,1,2,1,4,2,0,1,1,0,2,6,1,1,1,2,0,2,1,1,0,1,0,0,1,0,0,4,6,6,0,2,0,0,1,6,0,1,4,6,4,2,0,4,0,4,0,1,4,1,4,6,4,4,0,0,1,2,0,0,0,1,1,1,0,0,1,1,0,1,1,6,1,0,1,1,1,4,0,0,6,6,0,0,1,1,0,1,0,0,0,4,0,1,1,1,1,0,1,0,4,1,1,1,1,1,6,2,4,0,0,1,0,1,4,0,1,0,0,0,1,0,4,1,0,1,0,0,0,1,1,1,0,0,4
